bowler,overs,maidens,runs,wickets,economy,zeros,fours,sixes,wides,noballs,country,match_name,scorecard_id
Kagiso Rabada,6.0,2,16,1,2.66,27,2,0,0,0,South Africa,32nd-Match,1384423
Gerald Coetzee,6.3,0,41,2,6.3,24,5,1,1,0,South Africa,32nd-Match,1384423
Keshav Maharaj,9.0,0,46,4,5.11,32,3,3,0,0,South Africa,32nd-Match,1384423
bowler,overs,maidens,runs,wickets,economy,zeros,fours,sixes,wides,noballs,country,match_name,scorecard_id
Shaheen Shah Afridi,9.0,1,23,3,2.55,40,2,0,2,0,Pakistan,31st-Match,1384422
Iftikhar Ahmed,10.0,0,44,1,4.4,32,5,0,0,0,Pakistan,31st-Match,1384422
Haris Rauf,8.0,0,36,2,4.5,28,3,0,2,0,Pakistan,31st-Match,1384422
Mohammad Wasim,8.1,1,31,3,3.79,31,4,0,0,0,Pakistan,31st-Match,1384422
Usama Mir,10.0,0,66,1,6.6,27,5,3,1,0,Pakistan,31st-Match,1384422
Taskin Ahmed,6.0,1,36,0,6.0,21,2,3,0,0,Bangladesh,31st-Match,1384422
Shoriful Islam,4.0,1,25,0,6.25,16,3,1,1,0,Bangladesh,31st-Match,1384422
Mehidy Hasan Miraz,9.0,0,60,3,6.66,25,3,4,0,0,Bangladesh,31st-Match,1384422
Mustafizur Rahman,7.0,0,47,0,6.71,23,9,0,1,0,Bangladesh,31st-Match,1384422
Shakib Al Hasan,5.3,0,30,0,5.45,13,1,1,0,0,Bangladesh,31st-Match,1384422
Najmul Hossain Shanto,1.0,0,5,0,5.0,4,1,0,0,0,Bangladesh,31st-Match,1384422
bowler,overs,maidens,runs,wickets,economy,zeros,fours,sixes,wides,noballs,country,match_name,scorecard_id
Mujeeb Ur Rahman,10.0,0,38,2,3.8,29,2,0,0,0,Afghanistan,30th-Match,1384421
Fazalhaq Farooqi,10.0,1,34,4,3.4,42,3,1,0,0,Afghanistan,30th-Match,1384421
Naveen-ul-Haq,6.3,0,47,0,7.23,16,5,1,2,0,Afghanistan,30th-Match,1384421
Azmatullah Omarzai,7.0,0,37,1,5.28,22,5,0,1,0,Afghanistan,30th-Match,1384421
Rashid Khan,10.0,0,50,1,5.0,27,3,0,2,0,Afghanistan,30th-Match,1384421
Mohammad Nabi,6.0,0,33,0,5.5,11,1,0,0,0,Afghanistan,30th-Match,1384421
Dilshan Madushanka,9.0,0,48,2,5.33,28,4,1,3,0,Sri Lanka,30th-Match,1384421
Kasun Rajitha,10.0,0,48,1,4.8,37,4,1,2,0,Sri Lanka,30th-Match,1384421
Angelo Mathews,3.0,0,18,0,6.0,8,2,0,0,0,Sri Lanka,30th-Match,1384421
Dushmantha Chameera,9.2,0,51,0,5.46,29,4,2,0,0,Sri Lanka,30th-Match,1384421
Maheesh Theekshana,10.0,0,55,0,5.5,25,3,1,3,0,Sri Lanka,30th-Match,1384421
Dhananjaya de Silva,4.0,0,21,0,5.25,9,2,0,0,0,Sri Lanka,30th-Match,1384421
bowler,overs,maidens,runs,wickets,economy,zeros,fours,sixes,wides,noballs,country,match_name,scorecard_id
David Willey,10.0,2,45,3,4.5,39,4,2,0,0,England,29th-Match,1384420
Chris Woakes,9.0,1,33,2,3.66,36,3,0,1,0,England,29th-Match,1384420
Adil Rashid,10.0,0,35,2,3.5,35,3,0,0,0,England,29th-Match,1384420
Mark Wood,9.0,1,46,1,5.11,32,3,2,2,0,England,29th-Match,1384420
Liam Livingstone,4.0,1,29,0,7.25,13,5,0,0,0,England,29th-Match,1384420
Moeen Ali,8.0,0,37,0,4.62,19,2,0,0,0,England,29th-Match,1384420
Jasprit Bumrah,6.5,1,32,3,4.68,31,3,2,2,0,India,29th-Match,1384420
Mohammed Siraj,6.0,0,33,0,5.5,22,3,1,2,0,India,29th-Match,1384420
Mohammed Shami,7.0,2,22,4,3.14,33,3,0,2,0,India,29th-Match,1384420
Kuldeep Yadav,8.0,0,24,2,3.0,28,1,0,0,0,India,29th-Match,1384420
Ravindra Jadeja,7.0,1,16,1,2.28,27,0,0,0,0,India,29th-Match,1384420
bowler,overs,maidens,runs,wickets,economy,zeros,fours,sixes,wides,noballs,country,match_name,scorecard_id
Shoriful Islam,10.0,0,51,2,5.1,38,5,1,3,0,Bangladesh,28th-Match,1384419
Taskin Ahmed,9.0,1,43,2,4.77,32,6,0,1,0,Bangladesh,28th-Match,1384419
Shakib Al Hasan,10.0,1,37,1,3.7,35,4,0,0,0,Bangladesh,28th-Match,1384419
Mehidy Hasan Miraz,4.0,0,17,0,4.25,10,1,0,0,0,Bangladesh,28th-Match,1384419
Mustafizur Rahman,10.0,1,36,2,3.6,36,3,0,1,0,Bangladesh,28th-Match,1384419
Mahedi Hasan,7.0,0,40,2,5.71,23,3,1,1,0,Bangladesh,28th-Match,1384419
Aryan Dutt,10.0,3,26,1,2.6,48,3,1,0,0,Netherlands,28th-Match,1384419
